OLD_SERVICE_TITLE,OLD_SERVICE_URL,AUTHORITATIVE_AGO_TITLE,AUTHORITATIVE_AGO_SERVICE_URL,UPDATED_URL,AUTHORITATIVE_AGO_ITEMID,ASSOCIATED_DEPRECATED_ITEMIDS,ASSOCIATED_DEPRECATED_URLS
(7.5m) bathymetric  - the atlas of canada base maps for bc,https://maps.gov.bc.ca/arcgis/rest/services/mpcm/bcgwpub/MapServer/49,(7.5M) Bathymetric  - The Atlas of Canada Base Maps for BC,https://maps.gov.bc.ca/arcserver/rest/services/whse/bcgw_pub_whse_basemapping/MapServer/2,YES,3cd772712ae141f4a2abf0d71b5d014e,2ce3ed7f0e1f45e3a5d4a2d9117c95df,https://maps.gov.bc.ca/arcserver/rest/services/mpcm/bcgwpub/MapServer/49
(7.5m) boundary lines  - the atlas of canada base maps for bc,https://maps.gov.bc.ca/arcgis/rest/services/mpcm/bcgwpub/MapServer/231,(7.5M) Boundary Lines  - The Atlas of Canada Base Maps for BC,https://maps.gov.bc.ca/arcserver/rest/services/whse/bcgw_pub_whse_basemapping/MapServer/24,YES,c86499a9545c4f09b443ed1bdddc5f1c,0d1bd9d971da441db0ed7fa178e4fe62,https://maps.gov.bc.ca/arcserver/rest/services/mpcm/bcgwpub/MapServer/231
(7.5m) drainage lines  - the atlas of canada base maps for bc,https://maps.gov.bc.ca/arcgis/rest/services/mpcm/bcgwpub/MapServer/677,(7.5M) Drainage Lines  - The Atlas of Canada Base Maps for BC,https://maps.gov.bc.ca/arcserver/rest/services/whse/bcgw_pub_whse_basemapping/MapServer/89,YES,05602a8ce9484d919581b61eeaf3cdb9,44867dd5c8234971847afd44cdab74e5,https://maps.gov.bc.ca/arcserver/rest/services/mpcm/bcgwpub/MapServer/677
(7.5m) drainage polygons  - the atlas of canada base maps for bc,https://maps.gov.bc.ca/arcgis/rest/services/mpcm/bcgwpub/MapServer/410,(7.5M) Drainage Polygons  - The Atlas of Canada Base Maps for BC,https://maps.gov.bc.ca/arcserver/rest/services/whse/bcgw_pub_whse_basemapping/MapServer/27,YES,bb2c41c25d2341af881318fa61dbd725,d8c5804bf7fa43e3b28f97cdaf0bb116,https://maps.gov.bc.ca/arcserver/rest/services/mpcm/bcgwpub/MapServer/410
(7.5m) major cities - the atlas of canada base maps of bc,https://maps.gov.bc.ca/arcgis/rest/services/mpcm/bcgwpub/MapServer/680,(7.5M) Major Cities - The Atlas of Canada Base Maps of BC,https://maps.gov.bc.ca/arcserver/rest/services/whse/bcgw_pub_whse_basemapping/MapServer/90,YES,7de8329b05ee49c1a3c80d21266b1898,40e8a57fdaa14cf390c247358b9d07e5,https://maps.gov.bc.ca/arcserver/rest/services/mpcm/bcgwpub/MapServer/680
(7.5m) major roads - the atlas of canada base maps for bc,https://maps.gov.bc.ca/arcgis/rest/services/mpcm/bcgwpub/MapServer/70,(7.5M) Major Roads - The Atlas of Canada Base Maps for BC,https://maps.gov.bc.ca/arcserver/rest/services/whse/bcgw_pub_whse_basemapping/MapServer/42,YES,a440e01351364d5ab3613ad802f0d631,449a0362be4e41c99a752b8d0a519ad7,https://maps.gov.bc.ca/arcserver/rest/services/mpcm/bcgwpub/MapServer/70
(7.5m) national parks - the atlas of canada base maps for bc,https://maps.gov.bc.ca/arcgis/rest/services/mpcm/bcgwpub/MapServer/523,(7.5M) National Parks - The Atlas of Canada Base Maps for BC,https://maps.gov.bc.ca/arcserver/rest/services/whse/bcgw_pub_whse_basemapping/MapServer/103,YES,dd8c1ba938a842abaea60762cfc4f00f,12d76535ffce4d7289b27a31184f02b0,https://maps.gov.bc.ca/arcserver/rest/services/mpcm/bcgwpub/MapServer/523
(7.5m) provinces and states - the atlas of canada base maps for bc,https://maps.gov.bc.ca/arcgis/rest/services/mpcm/bcgwpub/MapServer/166,(7.5M) Provinces and States - The Atlas of Canada Base Maps for BC,https://maps.gov.bc.ca/arcserver/rest/services/whse/bcgw_pub_whse_basemapping/MapServer/101,YES,49e8c3a676ed431e8c9f6df13ff08f12,62851606c78445f997c0aaf95e8b1e0b,https://maps.gov.bc.ca/arcserver/rest/services/mpcm/bcgwpub/MapServer/166
air photo system - air photo polygons.,https://maps.gov.bc.ca/arcgis/rest/services/mpcm/bcgwpub/MapServer/519,Air Photo System - Air Photo Polygons.,https://maps.gov.bc.ca/arcserver/rest/services/whse/bcgw_pub_whse_reference/MapServer/5,YES,870e2c9e6d264000bb273ea3d2f7852a,9616cbd146f64b1cb66a10d7d4552d8c,https://maps.gov.bc.ca/arcserver/rest/services/mpcm/bcgwpub/MapServer/519
air photo system - centre points.,https://maps.gov.bc.ca/arcgis/rest/services/mpcm/bcgwpub/MapServer/155,Air Photo System - Centre Points.,https://maps.gov.bc.ca/arcserver/rest/services/whse/bcgw_pub_whse_reference/MapServer/3,YES,8cade5c593754fa38498eb148e199251,26265be071cd4882a9eb7fcadc6d9d99,https://maps.gov.bc.ca/arcserver/rest/services/mpcm/bcgwpub/MapServer/155
