OLD_WS_TITLE,OLD_WS_URL,AGO_TITLE,AGO_ITEMID,AGO_WS_URL,URL_UPDATED
(7.5m) bathymetric  - the atlas of canada base maps for bc,https://maps.gov.bc.ca/arcgis/rest/services/mpcm/bcgwpub/MapServer/49,(7.5M) Bathymetric  - The Atlas of Canada Base Maps for BC,3cd772712ae141f4a2abf0d71b5d014e,https://maps.gov.bc.ca/arcserver/rest/services/whse/bcgw_pub_whse_basemapping/MapServer/2,YES
(7.5m) boundary lines  - the atlas of canada base maps for bc,https://maps.gov.bc.ca/arcgis/rest/services/mpcm/bcgwpub/MapServer/231,(7.5M) Boundary Lines  - The Atlas of Canada Base Maps for BC,c86499a9545c4f09b443ed1bdddc5f1c,https://maps.gov.bc.ca/arcserver/rest/services/whse/bcgw_pub_whse_basemapping/MapServer/24,YES
(7.5m) drainage lines  - the atlas of canada base maps for bc,https://maps.gov.bc.ca/arcgis/rest/services/mpcm/bcgwpub/MapServer/677,(7.5M) Drainage Lines  - The Atlas of Canada Base Maps for BC,05602a8ce9484d919581b61eeaf3cdb9,https://maps.gov.bc.ca/arcserver/rest/services/whse/bcgw_pub_whse_basemapping/MapServer/89,YES
(7.5m) drainage polygons  - the atlas of canada base maps for bc,https://maps.gov.bc.ca/arcgis/rest/services/mpcm/bcgwpub/MapServer/410,(7.5M) Drainage Polygons  - The Atlas of Canada Base Maps for BC,bb2c41c25d2341af881318fa61dbd725,https://maps.gov.bc.ca/arcserver/rest/services/whse/bcgw_pub_whse_basemapping/MapServer/27,YES
(7.5m) major cities - the atlas of canada base maps of bc,https://maps.gov.bc.ca/arcgis/rest/services/mpcm/bcgwpub/MapServer/680,(7.5M) Major Cities - The Atlas of Canada Base Maps of BC,7de8329b05ee49c1a3c80d21266b1898,https://maps.gov.bc.ca/arcserver/rest/services/whse/bcgw_pub_whse_basemapping/MapServer/90,YES
(7.5m) major roads - the atlas of canada base maps for bc,https://maps.gov.bc.ca/arcgis/rest/services/mpcm/bcgwpub/MapServer/70,(7.5M) Major Roads - The Atlas of Canada Base Maps for BC,a440e01351364d5ab3613ad802f0d631,https://maps.gov.bc.ca/arcserver/rest/services/whse/bcgw_pub_whse_basemapping/MapServer/42,YES
(7.5m) national parks - the atlas of canada base maps for bc,https://maps.gov.bc.ca/arcgis/rest/services/mpcm/bcgwpub/MapServer/523,(7.5M) National Parks - The Atlas of Canada Base Maps for BC,dd8c1ba938a842abaea60762cfc4f00f,https://maps.gov.bc.ca/arcserver/rest/services/whse/bcgw_pub_whse_basemapping/MapServer/103,YES
(7.5m) provinces and states - the atlas of canada base maps for bc,https://maps.gov.bc.ca/arcgis/rest/services/mpcm/bcgwpub/MapServer/166,(7.5M) Provinces and States - The Atlas of Canada Base Maps for BC,49e8c3a676ed431e8c9f6df13ff08f12,https://maps.gov.bc.ca/arcserver/rest/services/whse/bcgw_pub_whse_basemapping/MapServer/101,YES
air photo system - air photo polygons.,https://maps.gov.bc.ca/arcgis/rest/services/mpcm/bcgwpub/MapServer/519,Air Photo System - Air Photo Polygons.,870e2c9e6d264000bb273ea3d2f7852a,https://maps.gov.bc.ca/arcserver/rest/services/whse/bcgw_pub_whse_reference/MapServer/5,YES
air photo system - centre points.,https://maps.gov.bc.ca/arcgis/rest/services/mpcm/bcgwpub/MapServer/155,Air Photo System - Centre Points.,8cade5c593754fa38498eb148e199251,https://maps.gov.bc.ca/arcserver/rest/services/whse/bcgw_pub_whse_reference/MapServer/3,YES
