comments,Anomoly_indicator,agoitemid1_ags_authoritative_feature_layers_only,agoitemid2_ags_deprecated_feature_layer_items_only,agoitemid3_ags_deprecated_map_image_layer_items_only,agoitem_serviceurl1_ags_toberetired_arcserver,agoitem_serviceurl2_ags_toberetired_arcgis,name1_agoitem_ags,feat_class,agoitem_serviceurl3_ags_new_minimap,agoitemid4_hosted_authoritative_feature_layers_only,name4_agoitem_hosted_authoritative_feature_layer,agoitem_serviceurl4_hosted_authoritative_feature_layer,
anomoly - the original url had been updated to mini-map service already (believe this was a test layer).  Manually updated the maxl service url from the deprecated map image layer,Y,2044f7caffc74fa8812af33c1051727b,n/a,b7799b95ff8a4457932898dedaf07947,https://maps.gov.bc.ca/arcserver/rest/services/mpcm/bcgwpub/MapServer/513,n/a,"BC Transport Lines 1:2,000,000  (Digital Baseline Mapping)",WHSE_BASEMAPPING.BC_TRANSPORT_LINES_500M,https://maps.gov.bc.ca/arcserver/rest/services/whse/bcgw_pub_whse_basemapping/MapServer/97,n/a,n/a,n/a,
,n/a,6e94c59f6667450582abd83a4bc18fed,n/a,0095e74b80e44b50ac13eebedaf0125f,https://maps.gov.bc.ca/arcserver/rest/services/mpcm/bcgwpub/MapServer/277,n/a,Mule Deer Winter Range Topographic Buffers - Cariboo Region,REG_LAND_AND_NATURAL_RESOURCE.WLD_MULE_DEER_RNG_TOPO_CAR_SP,https://maps.gov.bc.ca/arcserver/rest/services/whse/bcgw_pub_reg_land_and_natural_resource/MapServer/0,n/a,n/a,n/a,
,n/a,2c089a186e6b4ead836a60f5ee84d1de,n/a,a32d3100c3b943e08207da851ac5079a,https://maps.gov.bc.ca/arcserver/rest/services/mpcm/bcgwpub/MapServer/595,n/a,Mountain Goat Winter Habitat in Parks - Cariboo Region,REG_LAND_AND_NATURAL_RESOURCE.WLD_GOAT_WINTR_HAB_PRKS_CAR_SP,https://maps.gov.bc.ca/arcserver/rest/services/whse/bcgw_pub_reg_land_and_natural_resource/MapServer/1,n/a,n/a,n/a,
,n/a,992213d67a3940129aacd7fea6213f91,n/a,78a4293e833f4334b5724e9b3d8f438f,https://maps.gov.bc.ca/arcserver/rest/services/mpcm/bcgwpub/MapServer/169,n/a,Seral Stage Assessment for the Cariboo Region,REG_LAND_AND_NATURAL_RESOURCE.FOR_SERAL_STAGES_CAR_SP,https://maps.gov.bc.ca/arcserver/rest/services/whse/bcgw_pub_reg_land_and_natural_resource/MapServer/10,n/a,n/a,n/a,
,n/a,80bdbf6488dc47fd8f6cb9c067bf9465,n/a,715cb79da08542e7b89f237249331aa0,https://maps.gov.bc.ca/arcserver/rest/services/mpcm/bcgwpub/MapServer/249,n/a,Caribou Habitat Model for the Western Cariboo Region (2017),REG_LAND_AND_NATURAL_RESOURCE.WLD_CARIBOU_HAB_W2017_CAR_SP,https://maps.gov.bc.ca/arcserver/rest/services/whse/bcgw_pub_reg_land_and_natural_resource/MapServer/11,n/a,n/a,n/a,
,n/a,be1be6a3d3c34e569854ad3841ced38c,n/a,n/a,https://maps.gov.bc.ca/arcserver/rest/services/mpcm/bcgwpub/MapServer/762,n/a,Slope-Aspect Categories in Mule Deer Winter Range - Cariboo Region,REG_LAND_AND_NATURAL_RESOURCE.WLD_MDWR_SLP_ASP_CAT_CAR_SP,https://maps.gov.bc.ca/arcserver/rest/services/whse/bcgw_pub_reg_land_and_natural_resource/MapServer/12,n/a,n/a,n/a,
,n/a,32185b0bf05a483b9aeafa12bd62191e,n/a,f1d3cb91ce964f54a2fd7e79ff27230e,https://maps.gov.bc.ca/arcserver/rest/services/mpcm/bcgwpub/MapServer/80,n/a,Productive Forest Landbase for the Cariboo Region,REG_LAND_AND_NATURAL_RESOURCE.PRODUCTIVE_FOREST_CAR_POLY,https://maps.gov.bc.ca/arcserver/rest/services/whse/bcgw_pub_reg_land_and_natural_resource/MapServer/13,n/a,n/a,n/a,
,n/a,46b20ab6dcd8402bb7edae30ae8400b8,n/a,f1b099a9da2643af9d3a102d04031d7c,https://maps.gov.bc.ca/arcserver/rest/services/mpcm/bcgwpub/MapServer/171,n/a,Kokanee Habitat Zones Okanagan Region,REG_LAND_AND_NATURAL_RESOURCE.FISH_KOKANEE_HAB_ZONES_OK_SP,https://maps.gov.bc.ca/arcserver/rest/services/whse/bcgw_pub_reg_land_and_natural_resource/MapServer/14,n/a,n/a,n/a,
,n/a,46dbc7165fdb4721a6206e5f9dae4690,n/a,91593a363e514a64a0834a5ca5cf958f,https://maps.gov.bc.ca/arcserver/rest/services/mpcm/bcgwpub/MapServer/627,n/a,Kokanee Shore Spawner Data - Okanagan Region,REG_LAND_AND_NATURAL_RESOURCE.FISH_KOKANEE_SPAWN_OK_SP,https://maps.gov.bc.ca/arcserver/rest/services/whse/bcgw_pub_reg_land_and_natural_resource/MapServer/15,n/a,n/a,n/a,
,n/a,73cdb9eb00b84da58aeda2a538135b99,n/a,87cb21c5d69c405bae93a2d200e9ce05,https://maps.gov.bc.ca/arcserver/rest/services/mpcm/bcgwpub/MapServer/174,n/a,Caribou Habitat Model for the Western Cariboo Region (2001),REG_LAND_AND_NATURAL_RESOURCE.WLD_CARIBOU_HAB_W2001_CAR_SP,https://maps.gov.bc.ca/arcserver/rest/services/whse/bcgw_pub_reg_land_and_natural_resource/MapServer/16,n/a,n/a,n/a,
,n/a,14d60282a0ed4a3f87a5e75ce47bdfca,n/a,e49a28b2b0ed4502aba03a32f864c9cf,https://maps.gov.bc.ca/arcserver/rest/services/mpcm/bcgwpub/MapServer/393,n/a,Caribou Habitat Model for the Eastern Cariboo Region-Columbia Highlands-Northern Columbia Mountains (2001),REG_LAND_AND_NATURAL_RESOURCE.WLD_CARIBOU_HAB_E2001_CAR_SP,https://maps.gov.bc.ca/arcserver/rest/services/whse/bcgw_pub_reg_land_and_natural_resource/MapServer/17,n/a,n/a,n/a,
,n/a,534df8670fe8417b962aa778b67aba61,n/a,a59af2ac87324b52bf61d7e0cd31a971,https://maps.gov.bc.ca/arcserver/rest/services/mpcm/bcgwpub/MapServer/129,n/a,Stand Structure Habitat Classes in Mule Deer Winter Range - Cariboo Region,REG_LAND_AND_NATURAL_RESOURCE.WLD_MULE_DEER_STND_STRC_CAR_SP,https://maps.gov.bc.ca/arcserver/rest/services/whse/bcgw_pub_reg_land_and_natural_resource/MapServer/18,n/a,n/a,n/a,
,n/a,07ceb8daf8e748da92221ed1be180308,n/a,515985fcced649569d6e5c9c4fad46c5,https://maps.gov.bc.ca/arcserver/rest/services/mpcm/bcgwpub/MapServer/661,n/a,Forest Licensee Operating Areas,REG_LAND_AND_NATURAL_RESOURCE.FOREST_LICENSEE_OPER_SP,https://maps.gov.bc.ca/arcserver/rest/services/whse/bcgw_pub_reg_land_and_natural_resource/MapServer/19,n/a,n/a,n/a,
,n/a,e824529fb263438dae864d38599947e5,n/a,712916aadc8a4d9ca73b99efc8b58d7e,https://maps.gov.bc.ca/arcserver/rest/services/mpcm/bcgwpub/MapServer/7,n/a,PNCP - High Elevation Winter Range,REG_LAND_AND_NATURAL_RESOURCE.WLD_PNCP_H_ELEV_CAR_WIN_RNG_SP,https://maps.gov.bc.ca/arcserver/rest/services/whse/bcgw_pub_reg_land_and_natural_resource/MapServer/2,n/a,n/a,n/a,
,n/a,42057f1facc74ba2a74760ef486c9f59,n/a,acb46963d8d84011a8186d2858ac0604,https://maps.gov.bc.ca/arcserver/rest/services/mpcm/bcgwpub/MapServer/185,n/a,Non-Productive Forest for the Cariboo Region,REG_LAND_AND_NATURAL_RESOURCE.NON_PRODUCTIVE_FOREST_CAR_POLY,https://maps.gov.bc.ca/arcserver/rest/services/whse/bcgw_pub_reg_land_and_natural_resource/MapServer/20,n/a,n/a,n/a,
,n/a,40dc026754784a6eb543f76d6bb408eb,n/a,993a275637bf4b5094b5521bb051196e,https://maps.gov.bc.ca/arcserver/rest/services/mpcm/bcgwpub/MapServer/186,n/a,Landscape Units (Subdivisions) for Wildlife Habitat Area 5-086,REG_LAND_AND_NATURAL_RESOURCE.WLD_CARIBOU_LU_SUBDIV_CAR_SP,https://maps.gov.bc.ca/arcserver/rest/services/whse/bcgw_pub_reg_land_and_natural_resource/MapServer/21,n/a,n/a,n/a,
,n/a,6c5a3fe9651c4c048fd49000f514f3a3,n/a,0c49bf33ce754ecb98b4f04638a44714,https://maps.gov.bc.ca/arcserver/rest/services/mpcm/bcgwpub/MapServer/273,n/a,Grassland Encroachment for the Cariboo Region,REG_LAND_AND_NATURAL_RESOURCE.GRASSLAND_ENCROACHMNT_CAR_POLY,https://maps.gov.bc.ca/arcserver/rest/services/whse/bcgw_pub_reg_land_and_natural_resource/MapServer/22,n/a,n/a,n/a,
,n/a,ad7a95e1be3a4ed49d6430804dce1da9,n/a,1f7494b7b3254d5388aa3a5062519c15,https://maps.gov.bc.ca/arcserver/rest/services/mpcm/bcgwpub/MapServer/529,n/a,Mussel Habitat Zones Okanagan Region,REG_LAND_AND_NATURAL_RESOURCE.FISH_MUSSEL_HAB_ZONES_OK_SP,https://maps.gov.bc.ca/arcserver/rest/services/whse/bcgw_pub_reg_land_and_natural_resource/MapServer/23,n/a,n/a,n/a,
,n/a,cb2368eeb37d4d0dbbf967dd9c354b2e,n/a,28186f62479049229b45e39ccd58135e,https://maps.gov.bc.ca/arcserver/rest/services/mpcm/bcgwpub/MapServer/722,n/a,Okanagan Conservation Ranking Polygons,REG_LAND_AND_NATURAL_RESOURCE.CONSERV_RANKING_OK_SP,https://maps.gov.bc.ca/arcserver/rest/services/whse/bcgw_pub_reg_land_and_natural_resource/MapServer/24,n/a,n/a,n/a,
,n/a,09fec4bf8973460392bfcdc5e75efee2,n/a,f370018638f748cc8114dedc11256a42,https://maps.gov.bc.ca/arcserver/rest/services/mpcm/bcgwpub/MapServer/274,n/a,Habitat Enhancement - Burning and Slashing Activity - Fish and Wildlife Compensation Program - Columbia Basin,REG_LAND_AND_NATURAL_RESOURCE.FWCP_ECOSYSTEM_ENH_EFFORTS_SP,https://maps.gov.bc.ca/arcserver/rest/services/whse/bcgw_pub_reg_land_and_natural_resource/MapServer/25,n/a,n/a,n/a,
,n/a,4ac538273b6c47e09f3fe3d98fa0c5ce,n/a,0da4b41a76c4493fb0c22c6d26f6eeea,https://maps.gov.bc.ca/arcserver/rest/services/mpcm/bcgwpub/MapServer/453,n/a,Itcha Ilgachuz Caribou Habitat Area,REG_LAND_AND_NATURAL_RESOURCE.WLD_CARIBOU_IICHA_CAR_SP,https://maps.gov.bc.ca/arcserver/rest/services/whse/bcgw_pub_reg_land_and_natural_resource/MapServer/3,n/a,n/a,n/a,
,n/a,c412df61134942c89fe0664a2a70ddda,n/a,b838e72486bf4de586fff7d0b3114a3a,https://maps.gov.bc.ca/arcserver/rest/services/mpcm/bcgwpub/MapServer/509,n/a,Leading Group for the Cariboo Region,REG_LAND_AND_NATURAL_RESOURCE.LEADING_GROUP_CAR_POLY,https://maps.gov.bc.ca/arcserver/rest/services/whse/bcgw_pub_reg_land_and_natural_resource/MapServer/4,n/a,n/a,n/a,
,n/a,17283c2ce6bd4fdab5be771107474123,n/a,625a65bb0f98464791f8ce17e58068b7,https://maps.gov.bc.ca/arcserver/rest/services/mpcm/bcgwpub/MapServer/505,n/a,Foreshore Plant Habitat Zones Okanagan Region,REG_LAND_AND_NATURAL_RESOURCE.FISH_FORESHORE_PLANT_HAB_OK_SP,https://maps.gov.bc.ca/arcserver/rest/services/whse/bcgw_pub_reg_land_and_natural_resource/MapServer/5,n/a,n/a,n/a,
,n/a,9cd1c21472674475aef9ba3632f3ad29,n/a,0503a3d608894a239a07d5b82ff21ade,https://maps.gov.bc.ca/arcserver/rest/services/mpcm/bcgwpub/MapServer/292,n/a,Predicted Spawning Periods for Reduced Risk Work Windows for Quesnel and Central Cariboo Districts,REG_LAND_AND_NATURAL_RESOURCE.FISH_PREDICTED_SPAWNING_CAR_SP,https://maps.gov.bc.ca/arcserver/rest/services/whse/bcgw_pub_reg_land_and_natural_resource/MapServer/6,n/a,n/a,n/a,
,n/a,e34b7ae9ef7746c3a84d7dbd17cd6e2f,n/a,bac6b2ae7c1d4b099223a8ec9eb5dff4,https://maps.gov.bc.ca/arcserver/rest/services/mpcm/bcgwpub/MapServer/448,n/a,Northern Caribou Habitat Units of the Itcha and Ilgachuz Areas - Cariboo Region,REG_LAND_AND_NATURAL_RESOURCE.WLD_NCAR_HAB_ITCHA_ILGACHUZ_SP,https://maps.gov.bc.ca/arcserver/rest/services/whse/bcgw_pub_reg_land_and_natural_resource/MapServer/7,n/a,n/a,n/a,
,n/a,96151b4539c4437897e3ec3324037db2,n/a,e90af4c70e6a46aeb4021fc7a59aee5d,https://maps.gov.bc.ca/arcserver/rest/services/mpcm/bcgwpub/MapServer/161,n/a,Mule Deer Winter Range Habitat Management Zones - Cariboo Region,REG_LAND_AND_NATURAL_RESOURCE.WLD_MULE_DEER_HAB_MG_ZN_CAR_SP,https://maps.gov.bc.ca/arcserver/rest/services/whse/bcgw_pub_reg_land_and_natural_resource/MapServer/8,n/a,n/a,n/a,
"new layer post June 3, 2021",Y,n/a,n/a,n/a,n/a,n/a,Slope-Aspect Habitat Type Limitations in Mule Deer Winter Range – Cariboo Region,REG_LAND_AND_NATURAL_RESOURCE.WLD_MDWR_STD_STRC_LMT_CAR_SP,https://maps.gov.bc.ca/arcserver/rest/services/whse/bcgw_pub_reg_land_and_natural_resource/MapServer/9,n/a,n/a,n/a,
,n/a,3e236ccc02e143a3a902083bb0a1e9b1,n/a,e1577be8d3954881a2c9c52c889ce676,https://maps.gov.bc.ca/arcserver/rest/services/mpcm/bcgwpub/MapServer/20,n/a,Recreation Tenure Alpine Ski Areas,REG_LEGAL_AND_ADMIN_BOUNDARIES.REC_TENURE_ALPINE_SKI_AREAS_SP,https://maps.gov.bc.ca/arcserver/rest/services/whse/bcgw_pub_reg_legal_and_admin_boundaries/MapServer/0,n/a,n/a,n/a,
,n/a,5a6992f83f9d430bbfceae4ea46caa73,n/a,78efc7607fc3427689b91168cbcbaff8,https://maps.gov.bc.ca/arcserver/rest/services/mpcm/bcgwpub/MapServer/215,n/a,First Nation Statement of Intent Boundaries BC,REG_LEGAL_AND_ADMIN_BOUNDARIES.QSOI_BC_REGIONS,https://maps.gov.bc.ca/arcserver/rest/services/whse/bcgw_pub_reg_legal_and_admin_boundaries/MapServer/1,n/a,n/a,n/a,
,n/a,af2c385668f245aca83c19e0dd0a265a,n/a,fbc84c47920b4e4b95b19086350da8ac,https://maps.gov.bc.ca/arcserver/rest/services/mpcm/bcgwpub/MapServer/447,n/a,FADM - Provincial Forest Deletion,WHSE_ADMIN_BOUNDARIES.FADM_PROV_FOREST_DELETION,https://maps.gov.bc.ca/arcserver/rest/services/whse/bcgw_pub_whse_admin_boundaries/MapServer/0,n/a,n/a,n/a,
,n/a,9a8dc3216bfe43a2b7ea56096264a258,n/a,2c194f30dba9492398f94b0c3a358c6d,https://maps.gov.bc.ca/arcserver/rest/services/mpcm/bcgwpub/MapServer/94,n/a,FADM - Provincial Forest Addition,WHSE_ADMIN_BOUNDARIES.FADM_PROV_FOREST_ADDITION,https://maps.gov.bc.ca/arcserver/rest/services/whse/bcgw_pub_whse_admin_boundaries/MapServer/1,n/a,n/a,n/a,
,n/a,57bf2784dd4e4bbca5872c75fb0535bc,n/a,d018200ae44f44659ec70efecdd090e1,https://maps.gov.bc.ca/arcserver/rest/services/mpcm/bcgwpub/MapServer/105,n/a,Local Health Area Boundaries,WHSE_ADMIN_BOUNDARIES.BCHA_LOCAL_HEALTH_AREA_SP,https://maps.gov.bc.ca/arcserver/rest/services/whse/bcgw_pub_whse_admin_boundaries/MapServer/10,n/a,n/a,n/a,
,n/a,8feb53a637374a099b791a9aa2b259f1,n/a,fd7afcc0aef2420dbb0a5271db21b707,https://maps.gov.bc.ca/arcserver/rest/services/mpcm/bcgwpub/MapServer/740,n/a,BC College Region Boundaries,WHSE_ADMIN_BOUNDARIES.ADM_COLLEGE_REGIONS_SP,https://maps.gov.bc.ca/arcserver/rest/services/whse/bcgw_pub_whse_admin_boundaries/MapServer/11,n/a,n/a,n/a,
,n/a,fbb5a816c95d41b79aa3ac6a5b612bc9,n/a,n/a,https://maps.gov.bc.ca/arcserver/rest/services/mpcm/bcgwpub/MapServer/771,n/a,Community Health Service Areas - CHSA,WHSE_ADMIN_BOUNDARIES.BCHA_CMNTY_HEALTH_SERV_AREA_SP,https://maps.gov.bc.ca/arcserver/rest/services/whse/bcgw_pub_whse_admin_boundaries/MapServer/12,n/a,n/a,n/a,
,n/a,eb1aa26f09d94a738371b684e8e70fe8,n/a,44b92d88afb24819b1ae896d644b061b,https://maps.gov.bc.ca/arcserver/rest/services/mpcm/bcgwpub/MapServer/459,n/a,FADM - Tree Farm License (TFL) Addition,WHSE_ADMIN_BOUNDARIES.FADM_TFL_ADDITION,https://maps.gov.bc.ca/arcserver/rest/services/whse/bcgw_pub_whse_admin_boundaries/MapServer/13,n/a,n/a,n/a,
,n/a,ffd467d34f3147b894ee5be496559281,n/a,923f50430c254eb6b47998f6bda29a05,https://maps.gov.bc.ca/arcserver/rest/services/mpcm/bcgwpub/MapServer/239,n/a,FADM - Cascade Mountain Boundary,WHSE_ADMIN_BOUNDARIES.FADM_CASCADE_MTN_BOUNDARY_SP,https://maps.gov.bc.ca/arcserver/rest/services/whse/bcgw_pub_whse_admin_boundaries/MapServer/14,n/a,n/a,n/a,
,n/a,9c0f5f37caf64b3b85181625be01ba4c,n/a,ef270080610849d9b8730a3af64286cc,https://maps.gov.bc.ca/arcserver/rest/services/mpcm/bcgwpub/MapServer/240,n/a,FADM - BC Timber Sales Area,WHSE_ADMIN_BOUNDARIES.FADM_BCTS_AREA_SP,https://maps.gov.bc.ca/arcserver/rest/services/whse/bcgw_pub_whse_admin_boundaries/MapServer/15,n/a,n/a,n/a,
,n/a,09e1e239765c49539a768b6ba293e7c5,n/a,a223350982014265b0b5854f0df59afd,https://maps.gov.bc.ca/arcserver/rest/services/mpcm/bcgwpub/MapServer/730,n/a,Environmental Emergency Response (EER) Regional Boundaries,WHSE_ADMIN_BOUNDARIES.ADM_ENVMTL_EMRG_RSPNS_RGN_SP,https://maps.gov.bc.ca/arcserver/rest/services/whse/bcgw_pub_whse_admin_boundaries/MapServer/16,n/a,n/a,n/a,
,n/a,2c98234890df4236808de650b061b3c1,n/a,198032c0d82142a2b5839ce56f1c6635,https://maps.gov.bc.ca/arcserver/rest/services/mpcm/bcgwpub/MapServer/557,n/a,FADM - Timber Supply Area (TSA),WHSE_ADMIN_BOUNDARIES.FADM_TSA,https://maps.gov.bc.ca/arcserver/rest/services/whse/bcgw_pub_whse_admin_boundaries/MapServer/17,n/a,n/a,n/a,
,n/a,1aa58ac3d0f1424eb096d40343f9df2d,n/a,9fe9e7154f6441f0a855572821797eaf,https://maps.gov.bc.ca/arcserver/rest/services/mpcm/bcgwpub/MapServer/692,n/a,Health Service Delivery Area Boundaries,WHSE_ADMIN_BOUNDARIES.BCHA_HEALTH_SERV_DEL_AREA_SP,https://maps.gov.bc.ca/arcserver/rest/services/whse/bcgw_pub_whse_admin_boundaries/MapServer/18,n/a,n/a,n/a,
,n/a,e1942cb032f741a8acfe0db84ba32653,n/a,fc743531e6d04c68936d0bc43bdf0070,https://maps.gov.bc.ca/arcserver/rest/services/mpcm/bcgwpub/MapServer/79,n/a,ENV Regional Boundaries,WHSE_ADMIN_BOUNDARIES.EADM_WLAP_REGION_BND_AREA_SVW,https://maps.gov.bc.ca/arcserver/rest/services/whse/bcgw_pub_whse_admin_boundaries/MapServer/19,n/a,n/a,n/a,
,n/a,7c3297ac10e94022a8935c3c0e3e86f0,n/a,7244f2914cfd4c13a619df6d1ea6121d,https://maps.gov.bc.ca/arcserver/rest/services/mpcm/bcgwpub/MapServer/2,n/a,FADM - Pulpwood Agreement,WHSE_ADMIN_BOUNDARIES.FADM_PULPWOOD_AGREEMENT,https://maps.gov.bc.ca/arcserver/rest/services/whse/bcgw_pub_whse_admin_boundaries/MapServer/2,n/a,n/a,n/a,
,n/a,129fb1c9b282473aa161a502b7e56860,n/a,e3ad4feca74442b5be22e6ad986f7183,https://maps.gov.bc.ca/arcserver/rest/services/mpcm/bcgwpub/MapServer/345,n/a,Ministry of Social Development and Poverty Reduction Boundaries,WHSE_ADMIN_BOUNDARIES.ADM_MSD_REGIONAL_BOUNDARIES_SP,https://maps.gov.bc.ca/arcserver/rest/services/whse/bcgw_pub_whse_admin_boundaries/MapServer/20,n/a,n/a,n/a,
,n/a,0323a084d18f466590ae0c5fe7ebf3d8,n/a,99811cf17020433d9f7e8745411ce7e5,https://maps.gov.bc.ca/arcserver/rest/services/mpcm/bcgwpub/MapServer/209,n/a,Forest Inventory Zones,WHSE_ADMIN_BOUNDARIES.FADM_FOREST_INVENTORY_ZONES_SP,https://maps.gov.bc.ca/arcserver/rest/services/whse/bcgw_pub_whse_admin_boundaries/MapServer/21,n/a,n/a,n/a,
,n/a,2f166d49d687498b9cdad4e6beaa6f49,n/a,5a270a0c5f0c4bad89cabfb2fea0063b,https://maps.gov.bc.ca/arcserver/rest/services/mpcm/bcgwpub/MapServer/300,n/a,FADM - Region Compartment,WHSE_ADMIN_BOUNDARIES.FADM_REGION_COMPARTMENT,https://maps.gov.bc.ca/arcserver/rest/services/whse/bcgw_pub_whse_admin_boundaries/MapServer/22,n/a,n/a,n/a,
,n/a,b194fbeb1a484189adc03e45d0bd79e1,n/a,cd7ed9554d9a4c21b795b254a197cff9,https://maps.gov.bc.ca/arcserver/rest/services/mpcm/bcgwpub/MapServer/301,n/a,Employment Program of British Columbia Regional Boundaries,WHSE_ADMIN_BOUNDARIES.ADM_ELMSD_REGION_BOUNDARIES_SP,https://maps.gov.bc.ca/arcserver/rest/services/whse/bcgw_pub_whse_admin_boundaries/MapServer/23,n/a,n/a,n/a,
,n/a,77fdc003327045a79801bffb8ce3be5d,n/a,a78fb5a21026426b8fb98f5429dd838a,https://maps.gov.bc.ca/arcserver/rest/services/mpcm/bcgwpub/MapServer/486,n/a,FADM - Tree Farm License (TFL) Deletion,WHSE_ADMIN_BOUNDARIES.FADM_TFL_DELETION,https://maps.gov.bc.ca/arcserver/rest/services/whse/bcgw_pub_whse_admin_boundaries/MapServer/24,n/a,n/a,n/a,
,n/a,e0dc89f54dd9450e863a1df5046a0438,n/a,713baacb56064b6da2b24339b8f3df7a,https://maps.gov.bc.ca/arcserver/rest/services/mpcm/bcgwpub/MapServer/734,n/a,Crown Land Pricing Zones - Utilities,WHSE_ADMIN_BOUNDARIES.CLP_UTILITY_PRICING_ZONES_SP,https://maps.gov.bc.ca/arcserver/rest/services/whse/bcgw_pub_whse_admin_boundaries/MapServer/25,n/a,n/a,n/a,
,n/a,88f43abec5044081adadb07db381f524,n/a,b90ece64a7c74ff0a4532e9ee189b854,https://maps.gov.bc.ca/arcserver/rest/services/mpcm/bcgwpub/MapServer/655,n/a,Provincial Electoral District Voting Areas - Gazetted 02-23-2017,WHSE_ADMIN_BOUNDARIES.EBC_VOTING_AREAS_BS10_POLY_SVW,https://maps.gov.bc.ca/arcserver/rest/services/whse/bcgw_pub_whse_admin_boundaries/MapServer/26,n/a,n/a,n/a,
,n/a,53f531e181e44818bc1822f011cccb37,n/a,n/a,https://maps.gov.bc.ca/arcserver/rest/services/mpcm/bcgwpub/MapServer/885,n/a,Recreation Sites and Trails BC District Boundaries,WHSE_ADMIN_BOUNDARIES.ADM_RECREATION_DISTRICTS_SP,https://maps.gov.bc.ca/arcserver/rest/services/whse/bcgw_pub_whse_admin_boundaries/MapServer/27,n/a,n/a,n/a,
,n/a,3f233d78d9544746be88bb18c2432153,n/a,56b96984def240b19508edd565e5493c,https://maps.gov.bc.ca/arcserver/rest/services/mpcm/bcgwpub/MapServer/470,n/a,FADM - Provincial Forest,WHSE_ADMIN_BOUNDARIES.FADM_PROV_FOREST,https://maps.gov.bc.ca/arcserver/rest/services/whse/bcgw_pub_whse_admin_boundaries/MapServer/28,n/a,n/a,n/a,
,n/a,14df1aa2edfd4f36a0d89eb159d820fa,n/a,5c4bc1687ed94e1bb08d4e2c2222332b,https://maps.gov.bc.ca/arcserver/rest/services/mpcm/bcgwpub/MapServer/521,n/a,FADM - Tree Farm License (TFL) Schedule A,WHSE_ADMIN_BOUNDARIES.FADM_TFL_SCHED_A,https://maps.gov.bc.ca/arcserver/rest/services/whse/bcgw_pub_whse_admin_boundaries/MapServer/29,n/a,n/a,n/a,
,n/a,8503c68990344cdcbf98c0497ed95dc8,n/a,91a8fd4abe864ef4b7b927031d8a49f6,https://maps.gov.bc.ca/arcserver/rest/services/mpcm/bcgwpub/MapServer/5,n/a,Georgia Basin Ecosystem Initiative Boundary - Polygon,WHSE_ADMIN_BOUNDARIES.ENVCAN_GEORGIA_BASIN_BND_POLY,https://maps.gov.bc.ca/arcserver/rest/services/whse/bcgw_pub_whse_admin_boundaries/MapServer/3,n/a,n/a,n/a,
,n/a,b483128029f14a6c87fc7acfa9b9f687,n/a,71bddcfde690487c9045ade344d24bed,https://maps.gov.bc.ca/arcserver/rest/services/mpcm/bcgwpub/MapServer/616,n/a,"Provincial Electoral Districts - Electoral Boundaries Redistribution, 2008",WHSE_ADMIN_BOUNDARIES.EBC_ELECTORAL_DISTS_BS09_SVW,https://maps.gov.bc.ca/arcserver/rest/services/whse/bcgw_pub_whse_admin_boundaries/MapServer/30,n/a,n/a,n/a,
